"requested_poison_probability","seed","name","label","reward_degradation_vs_clean","collision_pair_events_mean","collision_pair_events_delta_vs_clean","collision_step_rate_mean"
"0.1","7","clean_rmappo","Clean RMAPPO","0.0","1.03125","0.0","0.04"
"0.1","7","random_action_poison","Random Action","13.471665173768997","1.15625","0.125","0.04625"
"0.1","7","targeted_action_poison","Targeted Action","24.361111491918564","2","0.96875","0.08"
"0.1","7","kl_targeted_action_poison","KL Targeted Action","13.501763075590134","2.15625","1.125","0.08625000000000001"
"0.1","13","clean_rmappo","Clean RMAPPO","0.0","1.75","0.0","0.06875"
"0.1","13","random_action_poison","Random Action","9.461661547422409","1.75","0.0","0.07"
"0.1","13","targeted_action_poison","Targeted Action","1.2482853531837463","1.46875","-0.28125","0.0575"
"0.1","13","kl_targeted_action_poison","KL Targeted Action","13.850008398294449","2.6875","0.9375","0.10625"
"0.1","21","clean_rmappo","Clean RMAPPO","0.0","1.71875","0.0","0.0625"
"0.1","21","random_action_poison","Random Action","22.46291372179985","2.4375","0.71875","0.09375"
"0.1","21","targeted_action_poison","Targeted Action","14.736230254173279","1.6875","-0.03125","0.065"
"0.1","21","kl_targeted_action_poison","KL Targeted Action","3.848443329334259","1.03125","-0.6875","0.0375"
"0.1","31","clean_rmappo","Clean RMAPPO","0.0","3.46875","0.0","0.1325"
"0.1","31","random_action_poison","Random Action","2.5888075828552246","1.75","-1.71875","0.07"
"0.1","31","targeted_action_poison","Targeted Action","-28.7061630487442","0.90625","-2.5625","0.03625"
"0.1","31","kl_targeted_action_poison","KL Targeted Action","-24.00060385465622","1.59375","-1.875","0.06375"
"0.1","37","clean_rmappo","Clean RMAPPO","0.0","2.15625","0.0","0.08625000000000001"
"0.1","37","random_action_poison","Random Action","-0.8287924230098724","1.65625","-0.5","0.0625"
"0.1","37","targeted_action_poison","Targeted Action","-12.686122000217438","1.40625","-0.75","0.05375"
"0.1","37","kl_targeted_action_poison","KL Targeted Action","15.695795834064484","1.25","-0.90625","0.05"
"0.2","7","clean_rmappo","Clean RMAPPO","0.0","1.03125","0.0","0.04"
"0.2","7","random_action_poison","Random Action","31.4011410176754","3.125","2.09375","0.11375"
"0.2","7","targeted_action_poison","Targeted Action","30.305526107549667","2.6875","1.65625","0.10375"
"0.2","7","kl_targeted_action_poison","KL Targeted Action","9.435357481241226","1.6875","0.65625","0.06"
"0.2","13","clean_rmappo","Clean RMAPPO","0.0","1.75","0.0","0.06875"
"0.2","13","random_action_poison","Random Action","-12.14237567782402","1.25","-0.5","0.05"
"0.2","13","targeted_action_poison","Targeted Action","-11.243519306182861","1.40625","-0.34375","0.05625"
"0.2","13","kl_targeted_action_poison","KL Targeted Action","7.687899529933929","2.8125","1.0625","0.11125"
"0.2","21","clean_rmappo","Clean RMAPPO","0.0","1.71875","0.0","0.0625"
"0.2","21","random_action_poison","Random Action","7.54310205578804","2.40625","0.6875","0.09375"
"0.2","21","targeted_action_poison","Targeted Action","10.38572433590889","2.6875","0.96875","0.10375"
"0.2","21","kl_targeted_action_poison","KL Targeted Action","9.695425182580948","2.65625","0.9375","0.1"
