"requested_poison_probability","name","label","reward_degradation_mean_across_seeds","collision_pair_events_mean_across_seeds","collision_pair_events_delta_mean_across_seeds","collision_step_rate_mean_across_seeds"
"0.1","clean_rmappo","Clean RMAPPO","0.0","2.025","0.0","0.078"
"0.1","random_action_poison","Random Action","9.431251120567321","1.75","-0.275","0.0685"
"0.1","targeted_action_poison","Targeted Action","-0.20933158993721007","1.49375","-0.53125","0.05850000000000001"
"0.1","kl_targeted_action_poison","KL Targeted Action","4.579081356525421","1.74375","-0.28125","0.06875"
"0.2","clean_rmappo","Clean RMAPPO","0.0","2.025","0.0","0.078"
"0.2","random_action_poison","Random Action","0.6541697919368744","2.06875","0.04375","0.0795"
"0.2","targeted_action_poison","Targeted Action","1.6570026516914367","2.09375","0.06875","0.08174999999999999"
"0.2","kl_targeted_action_poison","KL Targeted Action","3.38793950676918","2.39375","0.36875","0.09275"
"0.3","clean_rmappo","Clean RMAPPO","0.0","2.025","0","0.078"
"0.3","random_action_poison","Random Action","-7.754857033491135","1.65","-0.375","0.06575"
"0.3","targeted_action_poison","Targeted Action","-7.064730113744735","1.51875","-0.50625","0.06000000000000001"
"0.3","kl_targeted_action_poison","KL Targeted Action","2.4668531715869904","1.7625","-0.2625","0.06874999999999999"
