name,label,seed,episodes,team_reward_mean,team_reward_std,episode_length_mean,final_min_distance_sum_mean,final_unique_landmarks_mean,max_unique_landmarks_mean,collision_pair_events_mean,collision_step_rate_mean,final_collision_pairs_mean,max_collision_pairs_mean,poisoned_action_count,mean_effective_probability,checkpoint_root,evaluation_path,requested_poison_probability,reward_delta_vs_clean,reward_degradation_vs_clean,collision_pair_events_delta_vs_clean
clean_rmappo,Clean RMAPPO,7,32,-488.441629499197,71.03096526688735,25,0.9624315203063514,2.4375,2.75,1.03125,0.04,0,0.46875,,,seed_sweep_p01_results\checkpoints\clean_rmappo_seed7,seed_sweep_p01_results\eval\clean_rmappo_seed7_summary.json,,0.0,0.0,0.0
random_action_poison,Random Action,7,32,-501.913294672966,58.394164075923996,25,1.063046814675754,2.40625,2.875,1.15625,0.04625,0,0.53125,49984,0.1,seed_sweep_p01_results\checkpoints\random_action_poison_rmappo_seed7,seed_sweep_p01_results\eval\random_action_poison_rmappo_seed7_summary.json,0.1,-13.471665173768997,13.471665173768997,0.125
targeted_action_poison,Targeted Action,7,32,-512.8027409911156,67.52252307404466,25,1.1554749098592454,2.4375,2.875,2,0.08,0.0625,0.5625,49956,0.1,seed_sweep_p01_results\checkpoints\targeted_action_poison_rmappo_seed7,seed_sweep_p01_results\eval\targeted_action_poison_rmappo_seed7_summary.json,0.1,-24.361111491918564,24.361111491918564,0.96875
kl_targeted_action_poison,KL Targeted Action,7,32,-501.94339257478714,54.10127705998558,25,1.025217363936736,2.5,2.8125,2.15625,0.08625000000000001,0.09375,0.6875,28670,0.05738995559146488,seed_sweep_p01_results\checkpoints\kl_targeted_action_poison_rmappo_seed7,seed_sweep_p01_results\eval\kl_targeted_action_poison_rmappo_seed7_summary.json,0.1,-13.501763075590134,13.501763075590134,1.125
clean_rmappo,Clean RMAPPO,13,32,-494.94591251015663,61.42738951908239,25,1.0396145311974831,2.46875,2.90625,1.75,0.06875,0.03125,0.6875,,,seed_sweep_p01_results\checkpoints\clean_rmappo_seed13,seed_sweep_p01_results\eval\clean_rmappo_seed13_summary.json,,0.0,0.0,0.0
random_action_poison,Random Action,13,32,-504.40757405757904,72.29913479003966,25,1.0954986181499449,2.5,2.78125,1.75,0.07,0.03125,0.4375,50295,0.1,seed_sweep_p01_results\checkpoints\random_action_poison_rmappo_seed13,seed_sweep_p01_results\eval\random_action_poison_rmappo_seed13_summary.json,0.1,-9.461661547422409,9.461661547422409,0.0
targeted_action_poison,Targeted Action,13,32,-496.1941978633404,65.0233231779808,25,1.080791757282629,2.53125,3,1.46875,0.0575,0,0.5625,50307,0.1,seed_sweep_p01_results\checkpoints\targeted_action_poison_rmappo_seed13,seed_sweep_p01_results\eval\targeted_action_poison_rmappo_seed13_summary.json,0.1,-1.2482853531837463,1.2482853531837463,-0.28125
kl_targeted_action_poison,KL Targeted Action,13,32,-508.7959209084511,65.88801976502845,25,1.057111059511301,2.375,2.78125,2.6875,0.10625,0.125,0.5625,31000,0.061117054301574505,seed_sweep_p01_results\checkpoints\kl_targeted_action_poison_rmappo_seed13,seed_sweep_p01_results\eval\kl_targeted_action_poison_rmappo_seed13_summary.json,0.1,-13.850008398294449,13.850008398294449,0.9375
clean_rmappo,Clean RMAPPO,21,32,-474.310477823019,56.202404844818,25,0.8507901104771336,2.625,2.9375,1.71875,0.0625,0,0.6875,,,seed_sweep_p01_results\checkpoints\clean_rmappo_seed21,seed_sweep_p01_results\eval\clean_rmappo_seed21_summary.json,,0.0,0.0,0.0
random_action_poison,Random Action,21,32,-496.7733915448189,62.85549282567782,25,0.9784760304045004,2.28125,2.8125,2.4375,0.09375,0.03125,0.75,50320,0.1,seed_sweep_p01_results\checkpoints\random_action_poison_rmappo_seed21,seed_sweep_p01_results\eval\random_action_poison_rmappo_seed21_summary.json,0.1,-22.46291372179985,22.46291372179985,0.71875
