name,label,seed,episodes,team_reward_mean,team_reward_std,episode_length_mean,final_min_distance_sum_mean,final_unique_landmarks_mean,max_unique_landmarks_mean,collision_pair_events_mean,collision_step_rate_mean,final_collision_pairs_mean,max_collision_pairs_mean,poisoned_action_count,mean_effective_probability,checkpoint_root,evaluation_path,requested_poison_probability,reward_delta_vs_clean,reward_degradation_vs_clean,collision_pair_events_delta_vs_clean
clean_rmappo,Clean RMAPPO,7,32,-488.441629499197,71.03096526688735,25,0.9624315203063514,2.4375,2.75,1.03125,0.04,0,0.46875,,,seed_sweep_p02_results\checkpoints\clean_rmappo_seed7,seed_sweep_p02_results\eval\clean_rmappo_seed7_summary.json,,0.0,0.0,0.0
random_action_poison,Random Action,7,32,-519.8427705168724,64.89759232805638,25,1.1209675758962006,2.28125,2.6875,3.125,0.11375,0.0625,0.65625,99744,0.2,seed_sweep_p02_results\checkpoints\random_action_poison_rmappo_seed7,seed_sweep_p02_results\eval\random_action_poison_rmappo_seed7_summary.json,0.2,-31.4011410176754,31.4011410176754,2.09375
targeted_action_poison,Targeted Action,7,32,-518.7471556067467,64.77245535647737,25,1.1411648309071032,2.3125,2.75,2.6875,0.10375,0.0625,0.75,99870,0.2,seed_sweep_p02_results\checkpoints\targeted_action_poison_rmappo_seed7,seed_sweep_p02_results\eval\targeted_action_poison_rmappo_seed7_summary.json,0.2,-30.305526107549667,30.305526107549667,1.65625
kl_targeted_action_poison,KL Targeted Action,7,32,-497.87698698043823,67.68924335474713,25,1.0384654235548074,2.625,2.84375,1.6875,0.06,0,0.5625,38336,0.07699159198318571,seed_sweep_p02_results\checkpoints\kl_targeted_action_poison_rmappo_seed7,seed_sweep_p02_results\eval\kl_targeted_action_poison_rmappo_seed7_summary.json,0.2,-9.435357481241226,9.435357481241226,0.65625
clean_rmappo,Clean RMAPPO,13,32,-494.94591251015663,61.42738951908239,25,1.0396145311974831,2.46875,2.90625,1.75,0.06875,0.03125,0.6875,,,seed_sweep_p02_results\checkpoints\clean_rmappo_seed13,seed_sweep_p02_results\eval\clean_rmappo_seed13_summary.json,,0.0,0.0,0.0
random_action_poison,Random Action,13,32,-482.8035368323326,64.97176873113702,25,0.9687047892954495,2.53125,2.875,1.25,0.05,0,0.46875,100118,0.2,seed_sweep_p02_results\checkpoints\random_action_poison_rmappo_seed13,seed_sweep_p02_results\eval\random_action_poison_rmappo_seed13_summary.json,0.2,12.14237567782402,-12.14237567782402,-0.5
targeted_action_poison,Targeted Action,13,32,-483.70239320397377,54.75748744318734,25,1.059267604897428,2.375,2.8125,1.40625,0.05625,0.03125,0.5,100042,0.2,seed_sweep_p02_results\checkpoints\targeted_action_poison_rmappo_seed13,seed_sweep_p02_results\eval\targeted_action_poison_rmappo_seed13_summary.json,0.2,11.243519306182861,-11.243519306182861,-0.34375
kl_targeted_action_poison,KL Targeted Action,13,32,-502.63381204009056,62.380576900810254,25,1.0519383379685392,2.53125,2.9375,2.8125,0.11125,0.03125,0.84375,36720,0.07282435200235118,seed_sweep_p02_results\checkpoints\kl_targeted_action_poison_rmappo_seed13,seed_sweep_p02_results\eval\kl_targeted_action_poison_rmappo_seed13_summary.json,0.2,-7.687899529933929,7.687899529933929,1.0625
clean_rmappo,Clean RMAPPO,21,32,-474.310477823019,56.202404844818,25,0.8507901104771336,2.625,2.9375,1.71875,0.0625,0,0.6875,,,seed_sweep_p02_results\checkpoints\clean_rmappo_seed21,seed_sweep_p02_results\eval\clean_rmappo_seed21_summary.json,,0.0,0.0,0.0
random_action_poison,Random Action,21,32,-481.85357987880707,66.26306683421708,25,0.9069972129774165,2.5,2.9375,2.40625,0.09375,0.03125,0.5625,100220,0.2,seed_sweep_p02_results\checkpoints\random_action_poison_rmappo_seed21,seed_sweep_p02_results\eval\random_action_poison_rmappo_seed21_summary.json,0.2,-7.54310205578804,7.54310205578804,0.6875
targeted_action_poison,Targeted Action,21,32,-484.6962021589279,62.86119585240997,25,0.9086937634185847,2.4375,2.84375,2.6875,0.10375,0.03125,0.71875,100216,0.2,seed_sweep_p02_results\checkpoints\targeted_action_poison_rmappo_seed21,seed_sweep_p02_results\eval\targeted_action_poison_rmappo_seed21_summary.json,0.2,-10.38572433590889,10.38572433590889,0.96875
