name,label,seed,episodes,team_reward_mean,team_reward_std,final_min_distance_sum_mean,final_unique_landmarks_mean,max_unique_landmarks_mean,collision_pair_events_mean,collision_step_rate_mean,final_collision_pairs_mean,max_collision_pairs_mean,poisoned_action_count,mean_effective_probability,checkpoint_root,evaluation_path,reward_delta_vs_clean,reward_degradation_vs_clean
clean_rmappo,Clean RMAPPO,21,32,-474.310477823019,56.202404844818,0.8507901104771336,2.625,2.9375,1.71875,0.0625,0,0.6875,,,seed_sweep_p03_results\checkpoints\clean_rmappo_seed21,seed_sweep_p03_results\eval\clean_rmappo_seed21_summary.json,0.0,0.0
random_action_poison,Random Action,21,32,-482.88320887088776,64.45197348194122,0.9331193515099192,2.53125,2.875,2.25,0.09,0.03125,0.59375,150302,0.3,seed_sweep_p03_results\checkpoints\random_action_poison_rmappo_seed21,seed_sweep_p03_results\eval\random_action_poison_rmappo_seed21_summary.json,-8.572731047868729,8.572731047868729
targeted_action_poison,Targeted Action,21,32,-478.3536387681961,52.374597904124855,0.9530049418651285,2.65625,2.96875,1.28125,0.04875,0,0.5625,150404,0.3,seed_sweep_p03_results\checkpoints\targeted_action_poison_rmappo_seed21,seed_sweep_p03_results\eval\targeted_action_poison_rmappo_seed21_summary.json,-4.043160945177078,4.043160945177078
kl_targeted_action_poison,KL Targeted Action,21,32,-508.6640698313713,74.52419728800007,1.1113885853471221,2.1875,2.65625,2.21875,0.08499999999999999,0.09375,0.5625,39172,0.07810096824226118,seed_sweep_p03_results\checkpoints\kl_targeted_action_poison_rmappo_seed21,seed_sweep_p03_results\eval\kl_targeted_action_poison_rmappo_seed21_summary.json,-34.35359200835228,34.35359200835228
clean_rmappo,Clean RMAPPO,31,32,-506.43807873129845,77.8412864667126,0.9756576499083651,2.3125,2.71875,3.46875,0.1325,0.03125,0.6875,,,seed_sweep_p03_results\checkpoints\clean_rmappo_seed31,seed_sweep_p03_results\eval\clean_rmappo_seed31_summary.json,0.0,0.0
random_action_poison,Random Action,31,32,-483.8518281877041,65.11323726422994,0.9218662872077247,2.5,2.8125,2.25,0.09,0.03125,0.65625,150203,0.3,seed_sweep_p03_results\checkpoints\random_action_poison_rmappo_seed31,seed_sweep_p03_results\eval\random_action_poison_rmappo_seed31_summary.json,22.58625054359436,-22.58625054359436
targeted_action_poison,Targeted Action,31,32,-490.1242592930794,65.27506799786413,0.9751301890340329,2.59375,2.84375,1.5,0.06,0,0.53125,150087,0.3,seed_sweep_p03_results\checkpoints\targeted_action_poison_rmappo_seed31,seed_sweep_p03_results\eval\targeted_action_poison_rmappo_seed31_summary.json,16.31381943821907,-16.31381943821907
kl_targeted_action_poison,KL Targeted Action,31,32,-492.3304754793644,71.37609152179412,0.8944652281502923,2.6875,2.90625,2.375,0.09375,0.0625,0.75,53864,0.10791094985063625,seed_sweep_p03_results\checkpoints\kl_targeted_action_poison_rmappo_seed31,seed_sweep_p03_results\eval\kl_targeted_action_poison_rmappo_seed31_summary.json,14.107603251934052,-14.107603251934052
clean_rmappo,Clean RMAPPO,7,32,-488.441629499197,71.03096526688735,0.9624315203063514,2.4375,2.75,1.03125,0.04,0,0.46875,,,seed_sweep_p03_results\checkpoints\clean_rmappo_seed7,seed_sweep_p03_results\eval\clean_rmappo_seed7_summary.json,0.0,0.0
random_action_poison,Random Action,7,32,-474.9617383480072,67.48459765625542,0.8932262919276205,2.625,2.875,1.3125,0.052500000000000005,0,0.46875,149221,0.3,seed_sweep_p03_results\checkpoints\random_action_poison_rmappo_seed7,seed_sweep_p03_results\eval\random_action_poison_rmappo_seed7_summary.json,13.479891151189804,-13.479891151189804
